ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.065323842,0.339520444,0.979751529,0.164433456,0.595678354,0.235567796,0.667140872,0.106355509,0.62940813,0.689379019,0.522094762,0.420328645,0.098950801,0.05645868,0.234275762,0.235567796,1
0.60438139,0.268925675,0.980683341,0.134977479,0.84092188,0.121082492,0.27999646,0.076788384,0.260727017,0.39708466,0.805593529,0.243784499,0.101060663,0.058992847,0.777054526,0.121082492,1
0.028382657,0.181049763,0.992426175,0.167723506,0.624341679,0.295745347,0.742613409,0.12166788,0.669643059,0.611205876,0.552673954,0.319823255,0.105168032,0.069270833,0.125694526,0.295745347,1
0.006513512,0.258865551,0.992349089,0.238525824,0.47245667,0.488927954,0.863503927,0.226786876,0.820465588,0.756895021,0.451717561,0.494575284,0.093220115,0.05215324,0.030115052,0.488927954,1
0.549347841,0.286366458,0.952123964,0.067990666,0.820321463,0.101219083,0.298166122,0.038890997,0.282219743,0.437146295,0.778036227,0.271206824,0.032431071,0.013680452,0.740337598,0.101219083,1
0.878289982,0.158684516,0.823246206,0.011151295,0.95188026,0.039044354,0.088448425,0.006003508,0.079323236,0.156317619,0.941404375,0.096062567,0.003458216,0.000835213,0.937123205,0.039044354,1
0.012198706,0.347565994,0.992945646,0.334505642,0.527515848,0.419230727,0.819841446,0.249072714,0.767756661,0.740254567,0.482033606,0.486248011,0.22027172,0.129830677,0.053094602,0.419230727,1
0.022005318,0.148079722,0.98910517,0.110706035,0.616479668,0.277915446,0.740882917,0.086815941,0.669617032,0.601387953,0.550187397,0.305571689,0.051929183,0.029332021,0.095218828,0.277915446,1
0.008295117,0.25192932,0.998354888,0.407259111,0.520088691,0.49563837,0.857554053,0.320192928,0.793102655,0.712867808,0.486325932,0.44338876,0.297813143,0.199778949,0.033016015,0.49563837,1
0.022936248,0.311595615,0.986383016,0.201153131,0.549087899,0.334438971,0.770665931,0.149573451,0.726236693,0.727274127,0.489975241,0.458774777,0.094499638,0.050868368,0.109801372,0.334438971,1
