ASM,CON,COR,VAR,IDM,SAV,SEN,SVA,ENT,DEN,DVA,DIS,CLS,CLP,MAP,MEA,Lable
0.06867636,0.0008341,0.98001337,0.00003999,0.540155198,0.001015653,0.11064165,0.00000192,0.06827777,0.1890674,0.524567672,0.030487,0.00000004,5E-11,0.241359741,0.00203155,1
0.656102877,0.00062152,0.98161524,0.00003171,0.845373596,0.00041517,0.04140463,0.00000133,0.02499491,0.09787898,0.831959262,0.01569293,0.00000004,6E-11,0.809269247,0.00083045,1
0.967741536,0.00004804,0.68900465,0.00000019,0.988060349,8.34101E-06,0.00531332,0,0.00295692,0.0146683,0.983605785,0.00130589,0,0,0.983689886,1.6694E-05,1
0.026545154,0.00044327,0.99266079,0.00004055,0.56804617,0.001317259,0.12406335,0.0000022,0.07325215,0.16810409,0.553257559,0.02332819,0.00000004,7E-11,0.115882137,0.002634836,1
0.587252601,0.00065421,0.95274045,0.00001548,0.812651859,0.000337181,0.0462556,0.00000065,0.02850659,0.11300843,0.795072277,0.01827584,0.00000001,1E-11,0.765119723,0.000674443,1
0.019492348,0.00052824,0.98965186,0.00003974,0.533256,0.001340012,0.12605754,0.00000218,0.07565859,0.1796024,0.528666236,0.02668157,0.00000004,6E-11,0.063360701,0.002680357,1
0.010394239,0.00085121,0.99319313,0.00008096,0.44457632,0.001966657,0.13779943,0.00000459,0.08476,0.20520402,0.475385026,0.03604999,0.00000008,1.2E-10,0.043977059,0.003933789,1
0.020680177,0.00036509,0.98924108,0.00002681,0.555357837,0.001229458,0.12376792,0.00000157,0.07325733,0.16594008,0.549159005,0.02245591,0.00000002,3E-11,0.089284128,0.002459203,1
0.007762714,0.00060215,0.99881473,0.00009866,0.454827958,0.002281025,0.14290335,0.0000058,0.08631882,0.1946965,0.487680687,0.03182623,0.00000011,1.9E-10,0.027884833,0.004562611,1
0.960544726,0.00006408,0.8129057,0.00000042,0.984338425,1.31816E-05,0.00614667,0.00000001,0.00343442,0.01753698,0.979507231,0.00167398,0,0,0.980012749,2.63664E-05,1
0.018160095,0.00076971,0.98626401,0.00004826,0.467882689,0.001535095,0.13014317,0.00000272,0.08051563,0.20162051,0.483582133,0.03404165,0.00000004,5E-11,0.088014059,0.003070561,1
0.86462862,0.00038387,0.91966459,0.00000563,0.940736559,9.69217E-05,0.01698601,0.00000022,0.00991562,0.04748114,0.934423128,0.00730226,0,0,0.92960935,0.000193867,1
0.009778246,0.00104081,0.99110307,0.00008564,0.401129314,0.002148749,0.14127234,0.00000505,0.08838417,0.22113536,0.442596585,0.04199511,0.00000008,1.1E-10,0.046456984,0.004298017,1
0.009913397,0.00092517,0.99522278,0.0001037,0.429640023,0.002370326,0.14388126,0.00000615,0.0885894,0.21206128,0.463089354,0.03834157,0.0000001,1.5E-10,0.045049304,0.004741224,1
0.009128611,0.00090612,0.99147696,0.0000764,0.426943191,0.001972958,0.13880075,0.00000441,0.08592377,0.20782382,0.471286472,0.03743353,0.00000008,1.4E-10,0.03998455,0.003946392,1
0.014698126,0.0007584,0.99571276,0.00008883,0.486569454,0.00190749,0.13602619,0.00000482,0.08211028,0.19642511,0.499976349,0.03282549,0.0000001,1.5E-10,0.060893229,0.003815451,1
